Nummer,Titel,"Adresse des Gartens",lat,lon,Entwicklungsstand,Stadtackertyp,ID,Elementtyp,Pfad
1,Allmende-Kontor,Oderstr,"52,4744444289942","13,4169551970673",Laufend,"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5",5,Element,Lists/Projekte
2,"AWO Begegnungszentrum Generationengarten","Adalbertstr 23a","52,5038591829674","13,4219018356514",Laufend,Generationengarten;#6;#Heilgarten;#21,70,Element,Lists/Projekte
3,"Bauerngarten Blankenfelde","Blankenfelder Chaussee 5","52,6039099110475","13,3993308171273",Laufend,"Selbst-Ernte-/Krautgarten;#12;#Gemeinschaftsgarten (individuelle Nutzung);#4;#Stadt-Farm/Bauernhof;#14",31,Element,Lists/Projekte
4,"Bauerngarten Havelmathen","Kladower Damm 57","52,4771597548594","13,1807844047546",Laufend,"Selbst-Ernte-/Krautgarten;#12;#Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5;#Stadt-Farm/Bauernhof;#14",29,Element,Lists/Projekte
5,"Begegnungsstätte Falckensteinstraße Generationengarten ","Falckensteinstr 6","52,49955","13,44256",Laufend,Generationengarten;#6,71,Element,Lists/Projekte
6,"Berolina Generationengarten","Neue Jakobstr 30","52,5098110454899","13,4137921276474",Laufend,Generationengarten;#6;#Mietergemeinschaftsgarten;#24,317,Element,Lists/Projekte
7,"Bohnen für die Marie","Marienburger Str 41-46","52,5351701148973","13,4242130944427",Laufend,"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5",40,Element,Lists/Projekte
8,"Boseclub Generationengarten ","Bosestr 6","52,4629582048925","13,3787301379593",Laufend,Generationengarten;#6,72,Element,Lists/Projekte
9,"Bunte Beete","Zeughofstr 24","52,501723","13,4355626",Laufend,"Interkultureller Garten;#8;#Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5;#Gemeinschaftsgarten (individuelle Nutzung);#4",13,Element,Lists/Projekte
10,"Bunter Garten Buchholz","Aubertstr 1","52,6084526101689","13,4166387140862",Laufend,"Interkultureller Garten;#8;#Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5;#Gemeinschaftsgarten (individuelle Nutzung);#4",26,Element,Lists/Projekte
11,"Bürgergarten Helle Oase","Tangermünder Str 127-129","52,5383400329901","13,609103877385",Laufend,"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5;#Bildungs-/Lehrgarten;#22;#Generationengarten;#6",306,Element,Lists/Projekte
12,"Bürgergarten im Stadtgarten Moabit","Siemensstr 27","52,5335680316403","13,3361509931847",,"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5;#Interkultureller Garten;#8",328,Element,Lists/Projekte
13,"Bürgergarten Laskerwiese","Laskerstr 8","52,501577","13,4657391",Laufend,"Interkultureller Garten;#8;#Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5",11,Element,Lists/Projekte
14,"Datscha, Interkultureller Garten Altglienicke","Anne-Frank Str","52,4077026636469","13,5391576322937",Laufend,"Interkultureller Garten;#8",10,Element,Lists/Projekte
15,"Domäne Dahlem","Königin Luise Str 49","52,460420366312","13,2898009509262",Laufend,Stadt-Farm/Bauernhof;#14;#Bildungs-/Lehrgarten;#22,47,Element,Lists/Projekte
